sn,host,zcmb,s2_x1,s2_x1.err,s2_hr,s2_hr.err,yeps_birth_feh,yeps_birth_feh_low,yeps_birth_feh_high,yeps_birth_afe,yeps_birth_afe_low,yeps_birth_afe_high,yeps_birth_z,yeps_birth_z_low,yeps_birth_z_high,scal19_ni_mass,scal19_ni_mass.err
SN1990af,2MASXJ21345926-6244143,0.050575,-2.132,0.141,-0.068,0.167,0.24438,0.169719,0.173886,-0.05762,0.053719,0.049886,1.594853295023254,0.6390028535612752,0.6517090636619179,0.369048,0.0503747659051632
SN1992bo,ESO352-G057,0.018983,-1.98,0.064,0.234,0.109,0.0126199999999999,0.0818509999999999,0.079542,-0.06438,0.0468509999999999,0.042542,0.9248541720111764,0.1887360660627769,0.1816653295337693,0.38972,0.0449446772821877
SN1993ac,CGCG307-023,0.049,-0.896,0.521,-0.059,0.204,0.03308,0.086039,0.084378,0.12708,0.0450389999999999,0.039378,1.3333950544552464,0.283636912884372,0.274483183649154,0.5371440000000001,0.0764158969848552
SN1993ag,2MASXJ10033546-3527410,0.049094,-0.832,0.136,-0.176,0.171,-0.2636,0.140312,0.138042,-0.1125999999999999,0.057312,0.047042,0.4518457482096982,0.1520128917230091,0.1476767670361236,0.545848,0.0334812616249746
SN1994M,NGC4493,0.023159,-1.405,0.09,-0.186,0.11,0.1895599999999999,0.087697,0.087198,0.2175599999999999,0.036697,0.036198,2.2225722108635053,0.4715069125074587,0.4685053566559998,0.46792,0.0373020190472312
SN1997E,NGC5490,0.013539,-1.702,0.087,0.06,0.087,0.23906,0.049441,0.0523969999999999,0.1530599999999999,0.031441,0.027397,2.2372905075533702,0.2818337231714525,0.2899396674225341,0.427528,0.0414094490183098
SN1998bp,NGC6495,0.010431,-2.492,0.092,0.06,0.096,0.1175799999999999,0.078798,0.0779939999999999,0.2315799999999999,0.041798,0.035994,1.9275796824692584,0.3769822590693711,0.3671464537310803,0.320088,0.0541052977812709
SN1999ej,NGC0495,0.013723,-1.485,0.223,0.578,0.13,0.48888,0.063433,0.061446,0.0768799999999999,0.027433,0.0244459999999999,3.503194416559732,0.5375589946667251,0.517061785164508,0.45704,0.0473800992928465
SN2000dk,NGC0382,0.017442,-2.047,0.077,-0.06,0.086,0.1603799999999999,0.0762969999999999,0.075983,-0.03962,0.0432969999999999,0.038983,1.354361937447885,0.2574349907981376,0.2529068344648219,0.380608,0.0463824129708664
SN2001ie,UGC05542,0.030738,-0.588,0.119,0.046,0.11,-0.12868,0.1319399999999999,0.130182,-0.14568,0.0479399999999999,0.045182,0.5834361839534592,0.1828590372143841,0.1798997393559065,0.579032,0.0302611209309899
SN2003ic,MCG-02-02-086,0.055672,-1.999,0.203,-0.306,0.115,-0.13752,0.202731,0.221347,0.06148,0.090731,0.074347,0.8071050041567868,0.3969688163618263,0.4241485075049891,0.387136,0.0522853519161915
SN2003iv,PGC010738,0.034307,-2.157,0.188,0.221,0.107,0.12592,0.066889,0.065594,0.0789199999999999,0.031889,0.030594,1.523979622549534,0.2490087953341717,0.2436190021216011,0.365648,0.0535007374995896
SN2004gc,ARP327NED04,0.032089,-0.682,0.04,-0.254,0.111,-0.08198,0.060099,0.0300989999999999,0.51402,0.013099,0.0160989999999999,1.948302823898697,0.2759457848122363,0.1465614631771385,0.566248,0.0269537263472047
SN2004gs,MCG+03-22-020,0.027425,-1.844,0.032,0.076,0.108,0.14494,0.088678,0.0864839999999999,0.06194,0.032678,0.032484,1.5478277194293402,0.3277654986718836,0.3200779841592497,0.408216,0.0421362219473934
SN2005ag,SDSS J145643.21+091936.4 ,0.079665,0.197,0.05,-0.095,0.092,-0.01196,0.050119,0.020117,0.4670399999999999,0.0201189999999999,0.026117,2.11694668250124,0.257107633378808,0.1365917670687159,0.6857920000000001,0.0242744731971674
SN2005al,NGC5304,0.012402,-1.22,0.029,0.296,0.179,0.0319399999999999,0.0693189999999999,0.066358,0.12594,0.0333189999999999,0.032358,1.3273780141914326,0.2251850306571088,0.2159124765489498,0.49308,0.0328917548330884
SN2005el,NGC1819,0.01491,-1.342,0.032,0.151,0.083,0.12806,0.090139,0.0301349999999999,0.47106,0.015139,0.019135,2.941957401453026,0.62124347433478,0.227319640234269,0.476488,0.0346134064778374
SN2005mc,UGC04414,0.025221,-1.916,0.044,-0.159,0.118,-0.0455799999999999,0.1085179999999999,0.100993,0.00442,0.0585179999999999,0.049993,0.90701748659036,0.2436779785737711,0.2243628281976995,0.398424,0.04347481422617
SN2006N,CGCG308-009,0.014277,-1.955,0.059,0.221,0.083,0.04364,0.089626,0.0842169999999999,0.16164,0.0356259999999999,0.0332169999999999,1.4471239127298416,0.3120738547755549,0.2930635357302962,0.39312,0.0444199910063025
SN2006bq,NGC6685,0.021905,-1.568,0.059,0.058,0.086,0.0834799999999999,0.0907959999999999,0.083359,0.22148,0.037796,0.037359,1.7523063711561275,0.384738794218481,0.3556048306241231,0.445752,0.0384830851154114
SN2006ef,NGC0809,0.017902,-1.092,0.204,0.347,0.178,0.4693,0.073139,0.068869,0.0453,0.027139,0.024869,3.177253743022871,0.5549847376165218,0.5216324340811777,0.510488,0.0415837593298152
